league,sample_size,frequency_logloss,market_logloss
I1,380,1.0828434608755784,0.966777013244679
D1,306,1.0740781417728937,0.9463586530469434
E0,561,1.0657140282297355,0.946112381710558
F1,380,1.0787125805336415,0.9992661388009421
