match_id,y,ctx_dispersion,ctx_n_books,ctx_has_pinnacle,ctx_league_tier,ctx_league_E0,ctx_league_SP1,ctx_league_I1,ctx_league_D1,ctx_league_F1,ctx_month,ctx_is_weekend,ctx_season_phase,ctx_overround,pH_b365,pD_b365,pA_b365,pH_bw,pD_bw,pA_bw,pH_wh,pD_wh,pA_wh,pH_ps,pD_ps,pA_ps
6286,2,0.011121080871470724,4,1,1,0,0,1,0,0,6,1,1,1.05,0.6417473541995046,0.19995496509795088,0.15829768070254446,0.6473859237856403,0.2003489069399771,0.1522651692743826,0.6558682952734998,0.19883165161975572,0.14530005310674457,0.6504939063502245,0.1967543296985247,0.1527517639512508
6280,0,0.01980244514969166,4,1,1,0,0,1,0,0,5,1,2,1.05,0.2845528455284553,0.26829268292682923,0.4471544715447154,0.2883913600946839,0.27566821185521256,0.4359404280501035,0.2711119602598395,0.28754298815437523,0.44134505158578524,0.27149748476846597,0.27938985351173534,0.4491126617197988
6281,1,0.019723049253092848,4,1,1,0,0,1,0,0,5,1,2,1.05,0.6617257808364214,0.18793012175754367,0.15034409740603494,0.6594169366034244,0.1999074502545118,0.14067561314206387,0.6764374295377678,0.19729425028184894,0.1262683201803833,0.6683887633193414,0.19309008718114304,0.13852114949951566
6282,0,0.007996816990115674,4,1,1,0,0,1,0,0,5,1,2,1.05,0.48,0.25999999999999995,0.25999999999999995,0.4761904761904762,0.2619047619047619,0.2619047619047619,0.48339684267827976,0.2547632008709852,0.2618399564507349,0.4830013688297903,0.2529401905187586,0.26405844065145123
6284,1,0.013233235339368285,4,1,1,0,0,1,0,0,5,1,2,1.05,0.6942607775720708,0.1798466014281936,0.12589262099973553,0.695542544553186,0.18150348305483138,0.12295397239198255,0.7101928819304333,0.17173755144863206,0.11806956662093454,0.7040141155712395,0.17600352889280987,0.11998235553595059
6285,1,0.018864790764357365,4,1,1,0,0,1,0,0,5,1,2,1.05,0.16751060626796224,0.23032708361844806,0.6021623101135898,0.17997199064943042,0.2182108431661685,0.6018171661844011,0.17109309477215545,0.2138663684651943,0.6150405367626502,0.16823975348632786,0.2141575385541847,0.6176027079594875
6283,2,0.01696058766808129,4,1,1,0,0,1,0,0,5,1,2,1.05,0.39593908629441626,0.2899492385786802,0.3141116751269035,0.3969465648854962,0.2894656488549619,0.313587786259542,0.39215686274509803,0.29411764705882354,0.3137254901960784,0.3913937309466114,0.30959118267802704,0.2990150863753615
6279,1,0.021294696045718098,4,1,1,0,0,1,0,0,5,1,2,1.05,0.802675585284281,0.11839464882943143,0.07892976588628761,0.8031568248400662,0.12332343503995855,0.0735197401199753,0.8263659342796034,0.11083025471514679,0.06280381100524984,0.8170265112503615,0.11000241866086571,0.07297107008877274
6278,0,0.015248057582598737,4,1,1,0,0,1,0,0,5,1,2,1.05,0.7151598592626587,0.17293865687624294,0.11190148386109836,0.7038391224862889,0.18098720292504572,0.11517367458866547,0.7242136064374541,0.1711777615215801,0.10460863204096561,0.7183882341928169,0.17153614927763852,0.11007561652954453
6277,0,0.013263204924680892,4,1,1,0,0,1,0,0,5,0,2,1.05,0.2792207792207792,0.2792207792207792,0.44155844155844154,0.27716535433070866,0.2944881889763779,0.4283464566929133,0.27842679127725856,0.29127725856697817,0.43029595015576316,0.2734439152570209,0.28904582033174575,0.43751026441123336
