match_idx,y,w_b365,w_bw,w_ps,w_wh,pH_mix,pD_mix,pA_mix,pH_eq,pD_eq,pA_eq,pH_static,pD_static,pA_static
0,2,0.27931958666789847,0.1718909193574852,0.30634594614898,0.24244354782563646,0.6488626807154658,0.19878426643745267,0.1523530528470815,0.6489155915214745,0.19898651859581948,0.15209788988270614,0.6489147429417186,0.198985211453725,0.15210004560455648
1,0,0.2761942088736221,0.17866247775971988,0.3043342011890617,0.24080911217759635,0.2779893236375145,0.2775941285341861,0.44441654782829937,0.278844282339126,0.27769883616188534,0.4434568814989887,0.27883767130313464,0.2776975157075376,0.4434648129893278
2,1,0.2761942185646167,0.17866267103371147,0.3043341065807252,0.2408090038209466,0.6670890857175206,0.1939139370156335,0.13899697726684593,0.6666950202838852,0.19457114119372995,0.13873383852238483,0.6666986063245618,0.19456510811370403,0.1387362855617342
3,0,0.2761956489899231,0.17869121801531862,0.30432013293678717,0.24079300005797113,0.4810611476733705,0.2569152219029583,0.2620236304236711,0.4806571266579355,0.257385856049448,0.2619570172926165,0.4806605279023269,0.2573823396862777,0.2619571324113954
4,1,0.27619501043824624,0.17867846976681176,0.30432637310674676,0.24080014668819533,0.7013376956140331,0.17700230862323157,0.12165999576273526,0.7010471427405178,0.17725140273988277,0.12170145451959938,0.7010493680702176,0.17724919571835862,0.12170143621142386
5,1,0.2761943233178586,0.17866476030847583,0.30433308387418917,0.24080783249947627,0.17080020415873262,0.219213945322759,0.6099858505185084,0.1716701087729921,0.219087145874652,0.6092427453523559,0.17166243073085583,0.21908958443932142,0.6092479848298228
6,2,0.2761945556990443,0.178669395811648,0.3043308147888406,0.24080523370046705,0.3938993707653534,0.2967823654553658,0.3093182637792808,0.3941749984419786,0.2957247785320005,0.3101002230260208,0.39417293629698813,0.29573161615077787,0.31009544755223395
7,1,0.27619402671605303,0.1786588451921647,0.3043359793479163,0.24081114874386592,0.8131187112890564,0.11483058701993874,0.07205070169100475,0.8125993108596742,0.11555766884740762,0.07184302029291827,0.812603470369364,0.1155519008798261,0.07184462875080987
8,0,0.2761947646503804,0.17867356479246044,0.30432877407622083,0.24080289648093836,0.7163582140014948,0.17351208168821505,0.11012970431029008,0.7154694941295348,0.17414108760183727,0.11038941826862793,0.7154775997119235,0.1741355367568121,0.11038686353126452
9,0,0.27443431613283104,0.17836751839324416,0.30619286459061557,0.24100530088330918,0.2769103659917191,0.28783051933139114,0.4352591146768898,0.2770826566589465,0.2884795780664255,0.434437765274628,0.27708202566186757,0.2884729429749366,0.4344450313631959
10,2,0.2744349400346708,0.17837967322490308,0.3061868945262424,0.2409984922141837,0.2243693812273066,0.2507216950644376,0.5249089237082558,0.22509443579768237,0.25048177877626776,0.5244237854260498,0.2250887956333154,0.2504836261831099,0.5244275781835748
11,2,0.2744341560904766,0.17836440153106334,0.3061943955056497,0.24100704687281024,0.19266598355460085,0.2475202343103479,0.5598137821350513,0.19342000819844932,0.24788472796618338,0.5586952638353673,0.19341388905836324,0.2478829045755366,0.5587032063661002
12,1,0.2744343071849663,0.1783673441198935,0.30619295018865356,0.24100539850648664,0.38681243523513553,0.3068479528585102,0.3063396119063543,0.3863255031266614,0.3062521656762729,0.30742233119706563,0.3863290968398357,0.3062562729676918,0.3074146301924726
13,2,0.27619445712286667,0.17866742930771976,0.3043317773939499,0.24080633617546374,0.3231477458562687,0.26869907087335726,0.40815318327037403,0.3242274225905765,0.26844811379135725,0.40732446361806623,0.32421720890460287,0.26845091862973025,0.40733187246566693
14,1,0.276194944729102,0.17867715835715417,0.3043270150364342,0.2408008818773097,0.5777051433328781,0.22903393289993154,0.19326092376719042,0.5774284593625023,0.22920590796504656,0.1933656326724511,0.5774318688507949,0.2292050564253278,0.1933630747238774
15,0,0.27619386672354374,0.1786556551433853,0.304337540897314,0.24081293723575692,0.6414080443763283,0.21975238514871456,0.13883957047495724,0.6399504069748652,0.22029776333712306,0.1397518296880118,0.639963108992924,0.22029394548632888,0.13974294552074723
16,1,0.27619505294897756,0.17867931822987454,0.30432595778800037,0.2407996710331475,0.47022684970017664,0.2834796299153569,0.24629352038446647,0.46970989132357793,0.2835857064219032,0.2467044022545188,0.469715005845973,0.28358304009399526,0.24670195406003168
17,2,0.27619541933691566,0.1786866322797121,0.3043223776096687,0.24079557077370362,0.40718299742533437,0.2805592493119719,0.3122577532626937,0.4074616050482665,0.2801634664334006,0.31237492851833293,0.4074591905217472,0.2801676765211927,0.31237313295705993
18,0,0.27683357582105594,0.1782248222705408,0.30768663464380314,0.23725496726460005,0.4491559598873494,0.2777720925610211,0.2730719475516295,0.4491179524953579,0.27722226481109075,0.27365978269355123,0.4491189620243189,0.2772254900106883,0.2736555479649928
19,2,0.27683295645594225,0.17821249610041995,0.3076927525219829,0.23726179492165478,0.29922344150758945,0.26620956861621603,0.43456698987619463,0.30017872886292774,0.26541339291182287,0.4344078782252494,0.30017165865083006,0.2654188616423916,0.43440947970677846
20,0,0.2768323112155489,0.17819966249498578,0.30769912234229674,0.23726890394716865,0.398059052291834,0.26224588126365056,0.33969506644451536,0.39672516784424877,0.26192584688927817,0.34134898526647306,0.3967354529641195,0.2619272757388147,0.34133727129706576
21,0,0.2768333944571708,0.17822121216126457,0.3076884264498407,0.23725696693172388,0.7432317902640905,0.14661678923580673,0.11015142050010267,0.743405272545043,0.14657650855387494,0.11001821890108214,0.7434038797331735,0.14657756738560984,0.11001855288121662
22,0,0.2768321022116702,0.17819550712356885,0.3077011848343517,0.23727120583040923,0.7401759153283619,0.14828289697872468,0.11154118769291353,0.7413026082413666,0.14806272416117616,0.11063466759745724,0.7412945929530038,0.1480660414354347,0.11063936561156146
23,0,0.27683321052986093,0.1782175516457659,0.30769024328105443,0.23725899454331872,0.31706682098890104,0.2143148012169642,0.46861837779413473,0.31677699096598066,0.21421323949282792,0.4690097695411914,0.3167806747656524,0.2142119691892069,0.46900735604514077
24,0,0.27683379401175257,0.17822916623430227,0.30768447861281834,0.23725256114112692,0.4086706015606583,0.2399650921461866,0.351364306293155,0.4080732348896011,0.24020036374638726,0.3517264013640117,0.40807885542341416,0.24019813127724476,0.35172301329934114
25,1,0.2768321934778762,0.17819732156040324,0.3077002842490959,0.23727020071262472,0.3485391536471637,0.24918175551245544,0.4022790908403809,0.3491035596616474,0.24871084154035403,0.4021855987979984,0.3490994731648558,0.24871256899208627,0.40218795784305794
26,0,0.27683289242885994,0.1782112222815888,0.307693384764189,0.2372625005253622,0.8239997941765071,0.1072103683049845,0.06878983751850842,0.823441044185509,0.10778492395369242,0.06877403186079854,0.8234439908973357,0.10778203000300351,0.06877397909966074
27,2,0.27619477496889183,0.1786737706875249,0.30432867329098906,0.24080278105259414,0.21098046626478204,0.25034936404854097,0.538670169686677,0.211898136692171,0.25074654052444156,0.5373553227833875,0.2118909708227051,0.25074270081130856,0.5373663283659864
28,0,0.27619521381678735,0.17868252926076572,0.30432438600655454,0.24079787091589241,0.3404187165304851,0.29547707167104004,0.3641042117984748,0.340381598368176,0.29507006851603235,0.36454833311579166,0.34038270890282724,0.29507271973815075,0.364544571359022
29,1,0.2744346312292799,0.17837365625469953,0.3061898498601101,0.2410018626559105,0.4144315256533285,0.2753883026818814,0.31018017166479006,0.41373784574460426,0.27567274591604896,0.3105894083393468,0.4137436388051678,0.2756710887482481,0.310585272446584
30,0,0.2744345596092017,0.17837226099530928,0.3061905351673269,0.24100264422816212,0.6096701070523656,0.22344672653751346,0.16688316641012094,0.6090464054477435,0.22379443411512637,0.16715916043713014,0.6090522073919059,0.2237920899124119,0.16715570269568233
31,2,0.2744335341933981,0.1783522941092023,0.3062003423774462,0.2410138293199534,0.3606046907837049,0.30941362427471625,0.3299816849415788,0.36158655381474564,0.30842735139277055,0.3299860947924838,0.36157839081766396,0.3084331967055471,0.3299884124767889
32,0,0.2768324056221132,0.1782015397299509,0.30769819059171477,0.2372678640562211,0.7097810807756183,0.16180931102884252,0.1284096081955392,0.7081140502709553,0.16339059506182738,0.1284953546672174,0.7081269506434456,0.1633790938633208,0.12849395549323359
33,2,0.2768335449956558,0.17822420863775112,0.30768693920776374,0.23725530715882934,0.223104527786574,0.2207169884216744,0.5561784837917516,0.2235664439956555,0.2210652955436138,0.5553682604607306,0.22356359353895236,0.22106163510608687,0.5553747713549607
34,0,0.27619468405279185,0.1786719566199681,0.30432956127425853,0.24080379805298144,0.47472405051313066,0.2645842537678334,0.26069169571903583,0.4735433292659439,0.264448049252471,0.2620086214815851,0.473552564528453,0.2644486797052538,0.2619987557662932
35,1,0.2761952809049706,0.17868386852815352,0.3043237304443052,0.24079712012257073,0.8369842883243551,0.10988797780517603,0.05312773387046876,0.8370601065923062,0.10993420781725685,0.053005685590436905,0.8370599501986906,0.10993338849051948,0.05300666131078992
36,0,0.2761948582546617,0.17867543263975835,0.30432785976941107,0.24080184933616888,0.5991691971871471,0.23767495346762085,0.16315584934523206,0.5984783088808742,0.23787844905204444,0.1636432420670815,0.5984853598166696,0.2378760893116137,0.16363855087171672
37,2,0.27619462767246383,0.17867083172854756,0.3043301119077173,0.24080442869127133,0.3132787071776055,0.3183343682528021,0.3683869245695924,0.31411097080395434,0.31826302390145905,0.36762600529458656,0.31410358097345825,0.3182642284796567,0.36763219054688506
38,0,0.2761954617382669,0.1786874788808013,0.304321963205879,0.24079509617505274,0.4299469022871581,0.2734662323751826,0.2965868653376593,0.42970874462162234,0.2735557883101736,0.2967354670682041,0.42971072393763193,0.273553994211552,0.29673528185081594
