match_idx,y,w_b365,w_bw,w_ps,w_wh,pH_mix,pD_mix,pA_mix,pH_eq,pD_eq,pA_eq
0,2,0.24084082873633356,0.23556338575639849,0.25382852034734354,0.26976726515992433,0.6491478741616173,0.19894683635434235,0.15190528948404033,0.6489155915214745,0.19898651859581948,0.15209788988270614
1,0,0.23989694898926758,0.23656395853791606,0.2565756578917314,0.26696343458108496,0.2784792812396427,0.2779982004174957,0.4435225183428615,0.278844282339126,0.27769883616188534,0.4434568814989887
2,1,0.23989694251420618,0.23656420471751166,0.25657556016577404,0.2669632926025081,0.6670212960388803,0.19460544302343122,0.13837326093768856,0.6666950202838852,0.19457114119372995,0.13873383852238483
3,0,0.23989598522145456,0.23660056561853754,0.25656112607747916,0.26694232308252874,0.4807853650114706,0.25722541780621666,0.2619892171823126,0.4806571266579355,0.257385856049448,0.2619570172926165
4,1,0.23989641294440148,0.23658432798801338,0.2565675718598724,0.26695168720771273,0.7013644663851363,0.1770661052572604,0.12156942835760336,0.7010471427405178,0.17725140273988277,0.12170145451959938
5,1,0.23989687251406147,0.23656686589513665,0.25657450375823443,0.26696175783256754,0.1715703791926113,0.21886487617812295,0.6095647446292658,0.1716701087729921,0.219087145874652,0.6092427453523559
6,2,0.2398967171690935,0.2365727702738432,0.2565721599013235,0.2669583526557398,0.3940681661560285,0.29593096377058853,0.310000870073383,0.3941749984419786,0.2957247785320005,0.3101002230260208
7,1,0.23989707067201696,0.23655933160826692,0.25657749464658636,0.2669661030731297,0.8130933180010979,0.11530992470429358,0.07159675729460856,0.8125993108596742,0.11555766884740762,0.07184302029291827
8,0,0.23989657741740317,0.23657808041338046,0.25657005194379917,0.26695529022541725,0.7157961049623631,0.1739951758669503,0.11020871917068659,0.7154694941295348,0.17414108760183727,0.11038941826862793
9,0,0.23858853180899173,0.23576570430233723,0.25878900233994306,0.26685676154872795,0.27704673832138654,0.28855334797576193,0.4343999137028516,0.2770826566589465,0.2884795780664255,0.434437765274628
10,2,0.23858815012898046,0.23578116805812632,0.25878282497775107,0.2668478568351421,0.2249757128035291,0.2504811550271367,0.5245431321693342,0.22509443579768237,0.25048177877626776,0.5244237854260498
11,2,0.23858862963032204,0.23576173891291738,0.25879058641436614,0.26685904504239444,0.19338045403460533,0.24784212801712113,0.5587774179482736,0.19342000819844932,0.24788472796618338,0.5586952638353673
12,1,0.2385885372790524,0.23576548258543628,0.25878909091026414,0.2668568892252472,0.38634245866964545,0.30629836921371667,0.307359172116638,0.3863255031266614,0.3062521656762729,0.30742233119706563
13,2,0.2398967830764038,0.23657026548136006,0.25657315422629795,0.2669597972159381,0.32422250567240657,0.2682672586436315,0.4075102356839619,0.3242274225905765,0.26844811379135725,0.40732446361806623
14,1,0.23989645692367043,0.23658265761846112,0.2565682349416528,0.2669526505162156,0.5776132620656341,0.22904354666488896,0.19334319126947683,0.5774284593625023,0.22920590796504656,0.1933656326724511
15,0,0.23989717750718856,0.23655526832109805,0.2565791076547552,0.2669684465169582,0.6403970777212971,0.2200660023646397,0.1395369199140632,0.6399504069748652,0.22029776333712306,0.1397518296880118
16,1,0.23989638448841344,0.2365854086921464,0.25656714285610616,0.266951063963334,0.46981885859680117,0.28352382842966767,0.2466573129735311,0.46970989132357793,0.2835857064219032,0.2467044022545188
17,2,0.2398961391214124,0.23659472471607473,0.2565634447106339,0.266945691451879,0.40748667767255864,0.28006073855676306,0.3124525837706784,0.4074616050482665,0.2801634664334006,0.31237492851833293
18,0,0.24048050181280992,0.237031724242993,0.2591725010589252,0.26331527288527196,0.449130332509575,0.27719023059041875,0.2736794369000063,0.4491179524953579,0.27722226481109075,0.27365978269355123
19,2,0.24048093851992736,0.2370159742485484,0.2591788363665232,0.26332425086500105,0.30013701727531233,0.26530669719141337,0.43455628553327424,0.30017872886292774,0.26541339291182287,0.4344078782252494
20,0,0.24048139284472386,0.2369995757274306,0.2591854325823995,0.263333598845446,0.3969242937584328,0.26184609362056677,0.34122961262100043,0.39672516784424877,0.26192584688927817,0.34134898526647306
21,0,0.24048062975143605,0.23702711137214466,0.259174356544576,0.2633179023318433,0.7435981831085265,0.14647809231431907,0.10992372457715432,0.743405272545043,0.14657650855387494,0.11001821890108214
22,0,0.24048153987098225,0.23699426604700616,0.25918756838200463,0.26333662570000693,0.7413568254251126,0.14789731476844617,0.11074585980644132,0.7413026082413666,0.14806272416117616,0.11063466759745724
23,0,0.24048075944670616,0.2370224340823149,0.25917623794578076,0.2633205685251982,0.31670535420648016,0.21425748387126858,0.4690371619222511,0.31677699096598066,0.21421323949282792,0.4690097695411914
24,0,0.24048034782856312,0.2370372747921656,0.2591702684053084,0.26331210897396284,0.4081462005022466,0.24022584398717492,0.3516279555105785,0.4080732348896011,0.24020036374638726,0.3517264013640117
25,1,0.24048147567692352,0.23699658451303973,0.25918663578691525,0.2633353040231215,0.34937190509031607,0.24860013827999972,0.40202795662968416,0.3491035596616474,0.24871084154035403,0.4021855987979984
26,0,0.2404809836310546,0.23701434659510578,0.2591794910792705,0.2633251786945691,0.8237049806871828,0.1076781290097863,0.06861689030303078,0.823441044185509,0.10778492395369242,0.06877403186079854
27,2,0.2398965705144308,0.2365783426669056,0.2565699478375557,0.2669551389811079,0.2118153959642912,0.25064459942976436,0.5375400046059444,0.211898136692171,0.25074654052444156,0.5373553227833875
28,0,0.23989627678148046,0.2365894986399249,0.25656551928389554,0.26694870529469916,0.34057327406429794,0.2950050194720571,0.3644217064636449,0.340381598368176,0.29507006851603235,0.36454833311579166
29,1,0.23858833911189373,0.23577351309669772,0.2587858829280658,0.2668522648633428,0.41370088960086765,0.27562370979906414,0.31067540060006815,0.41373784574460426,0.27567274591604896,0.3105894083393468
30,0,0.23858838292316556,0.23577173800344745,0.258786592031182,0.26685328704220496,0.6092440269900421,0.22371075958408848,0.16704521342586945,0.6090464054477435,0.22379443411512637,0.16715916043713014
31,2,0.23858900941174532,0.235746335316828,0.25879673979117407,0.26686791548025257,0.3614468319699971,0.30855786686089554,0.32999530116910747,0.36158655381474564,0.30842735139277055,0.3299860947924838
32,0,0.24048132641134545,0.23700197442927792,0.25918446771485304,0.2633322314445235,0.7082060484711483,0.16332552654951224,0.1284684249793396,0.7081140502709553,0.16339059506182738,0.1284953546672174
33,2,0.24048052356138813,0.23703094016537174,0.25917281644682044,0.2633157198264197,0.22349193430276587,0.2209984067422255,0.5555096589550087,0.2235664439956555,0.2210652955436138,0.5553682604607306
34,0,0.23989663133079978,0.236576032043919,0.2565708650811923,0.26695647154408886,0.4737325117400683,0.26445917217059345,0.26180831608933813,0.4735433292659439,0.264448049252471,0.2620086214815851
35,1,0.23989623185194045,0.2365912044862661,0.25656484212084213,0.26694772154095137,0.8372941842528772,0.10978962780461005,0.05291618794251275,0.8370601065923062,0.10993420781725685,0.053005685590436905
36,0,0.23989651479128346,0.2365804595343457,0.25656910750943107,0.2669539181649398,0.5987527528557621,0.23782414408159877,0.1634231030626391,0.5984783088808742,0.23787844905204444,0.1636432420670815
37,2,0.2398966690389559,0.2365745992403101,0.2565714338589539,0.26695729786178,0.31381613291416577,0.31851030453891144,0.36767356254692274,0.31411097080395434,0.31826302390145905,0.36762600529458656
38,0,0.23989611071250627,0.23659580304265695,0.25656301665244474,0.26694506959239195,0.429680717945643,0.2734708540572554,0.2968484279971016,0.42970874462162234,0.2735557883101736,0.2967354670682041
39,2,0.24048160228405444,0.23699201164668135,0.2591884752077344,0.2633379108615298,0.21012268514895613,0.20752385031940287,0.582353464531641,0.21027439833363523,0.20767942494694525,0.5820461767194196
40,1,0.24048158372490927,0.23699268204145557,0.25918820554337085,0.2633375286902643,0.5526432839598926,0.23516710722870668,0.21218960881140075,0.5523284238065481,0.2353993221252723,0.21227225406817965
41,1,0.24048015665014633,0.23704416391595357,0.2591674973303657,0.26330818210353435,0.38459183138372455,0.25452776736131544,0.36088040125496007,0.38461646268262323,0.25450088100919205,0.3608826563081847
42,1,0.24048043235798897,0.23703422801635746,0.25917149394017125,0.2633138456854823,0.7367753521584345,0.14658761985896693,0.11663702798259862,0.7366629069193505,0.14669925972840026,0.11663783335224927
43,0,0.24048222829484472,0.2369693856799713,0.2591975764812325,0.26335080954395146,0.43057546507861155,0.24736715904648954,0.322057375874899,0.43036742873599476,0.2477269440296441,0.32190562723436117
44,2,0.23989656279255334,0.23657863602748902,0.25656983138282,0.2669549697971377,0.45199963497684115,0.27161598312053453,0.27638438190262427,0.4518778977787203,0.2718037950934494,0.2763183071278304
45,0,0.23989681543714464,0.23656903549781547,0.25657364249200154,0.2669605065730383,0.6724603959248208,0.19176077085878931,0.13577883321638987,0.6723310202819671,0.1916347261693145,0.13603425354871834
46,0,0.24048136676997636,0.23700051723937648,0.25918505386313734,0.26333306212750984,0.341790655258492,0.280102004857586,0.3781073398839219,0.3418088446453199,0.28024081440636445,0.3779503409483157
47,2,0.2391649996729145,0.23620185824451773,0.26141358527087993,0.26321955681168785,0.24576052151698324,0.2184643468464542,0.5357751316365625,0.24560668712275527,0.21859637174362154,0.5357969411336232
48,2,0.23858798243443377,0.2357879579608763,0.2587801126026965,0.26684394700199354,0.21293780755698866,0.23872017795393566,0.5483420144890756,0.21291767467979486,0.2387827685536904,0.5482995567665148
49,2,0.23858939636192295,0.2357306272395031,0.2588030148394163,0.26687696155915763,0.11989710627152649,0.1773537235597411,0.7027491701687325,0.12018090162703796,0.1775698287461643,0.7022492696267978
50,1,0.23858870570908428,0.23575865429308707,0.2587918186449538,0.26686082135287487,0.25992299957658993,0.26252291488743423,0.47755408553597567,0.2597026833036693,0.26265274947516515,0.4776445672211655
51,1,0.23989616146278608,0.2365938766539675,0.25656378136195523,0.2669461805212911,0.33501464407817916,0.3063497210628757,0.35863563485894506,0.33494567104115575,0.3063301262177409,0.35872420274110334
52,1,0.2404808535418447,0.23701903998184493,0.2591776031969331,0.2633225032793773,0.3222684385639988,0.26450528220803726,0.41322627922796384,0.32222361331006344,0.264625768120302,0.41315061856963464
53,2,0.24048147868484948,0.23699647588321165,0.2591866794828748,0.263335365949064,0.3048051025662189,0.2678374210523264,0.4273574763814547,0.30480955096304946,0.2679172293497185,0.42727321968723203
54,2,0.24048027848021628,0.23703977403646892,0.2591692631106236,0.2633106843726912,0.4866971812434884,0.2756460557909882,0.2376567629655234,0.48672603894248917,0.275641019248603,0.23763294180890782
55,1,0.23989669397502722,0.23657365168057154,0.2565718100104088,0.2669578443339925,0.6500109106072061,0.21125930094443846,0.13872978844835546,0.6497378656954732,0.21128764595366892,0.13897448835085793
56,0,0.23989613350869796,0.23659493776464402,0.2565633601377392,0.2669455685889188,0.30383324685111823,0.2886552521175489,0.40751150103133293,0.30384300843369877,0.2885812814109797,0.4075757101553214
57,1,0.2398968796101525,0.2365665961418362,0.2565746108421368,0.2669619134058745,0.3978276254948815,0.2878897644266733,0.31428261007844527,0.3978102221597999,0.28773169011520205,0.3144580877249981
58,1,0.23989632230308583,0.2365877701585165,0.2565662054327699,0.2669497021056277,0.44362840726195574,0.2971957256862582,0.25917586705178625,0.443550590623731,0.2972831378308511,0.25916627154541794
59,0,0.24048041062817488,0.23703501128920768,0.25917117887641433,0.2633133992062031,0.521331359471248,0.21949048052982012,0.25917815999893196,0.5212964214666452,0.2194855244455684,0.2592180540877863
60,0,0.24048087310385724,0.23701833428947083,0.259177887056574,0.2633229055500979,0.44899227299661826,0.2386847221688789,0.31232300483450276,0.44884941270950135,0.23888498012773865,0.3122656071627599
61,1,0.24048107758933865,0.23701095606440192,0.25918085489905457,0.26332711144720494,0.4182244153512443,0.2510627725542901,0.33071281209446557,0.4184275367827217,0.2511002598201406,0.33047220339713773
62,0,0.2404804661592106,0.23703300955681977,0.2591719840536711,0.26331454023029854,0.6858545659527134,0.18931546027812385,0.12482997376916273,0.6857249909153296,0.1893973450094101,0.12487766407526034
63,1,0.24048046151661712,0.2370331769164641,0.2591719167348671,0.2633144448320517,0.41221052776995004,0.2603349634382031,0.3274545087918469,0.41235402481163896,0.2602181190204036,0.32742785616795733
64,1,0.2398960579094894,0.23659780714253462,0.2565622210949085,0.2669439138530675,0.21693875082163824,0.26129434588692746,0.5217669032914343,0.21707222204379517,0.2612301027452809,0.5216976752109239
65,0,0.239896137628237,0.23659478139456694,0.25656342221123707,0.26694565876595905,0.16024119890408292,0.206212498273521,0.6335463028223961,0.1603123472149538,0.2062779806612144,0.6334096721238318
66,1,0.2385890491641487,0.2357447222240065,0.2587973841862251,0.26686884442561976,0.33652191859099717,0.32532822225527097,0.33814985915373186,0.3362321058741229,0.32569587220878027,0.3380720219170968
67,1,0.23916504349730616,0.2362001760909624,0.2614142661603252,0.26322051425140625,0.1766118527784049,0.18717183250063738,0.6362163147209577,0.1767863188412878,0.1872657596909783,0.6359479214677339
68,0,0.23822432087782502,0.23709945847424874,0.2602445111725745,0.2644317094753517,0.42205829504182785,0.30003488206558987,0.27790682289258234,0.42224846591688014,0.30000727671173605,0.27774425737138375
69,0,0.23953221737728977,0.23794493453888294,0.25800548483012087,0.26451736325370634,0.5568474379851402,0.24279792058843588,0.20035464142642392,0.5569229422753976,0.24298042940753717,0.20009662831706515
70,1,0.2401038383749806,0.23837331321791777,0.26061610023082504,0.26090674817627657,0.4139951659859652,0.2744028916637303,0.31160194235030453,0.4140704058469934,0.2743993789774471,0.3115302151755595
71,1,0.24010356794360768,0.23838242543487806,0.2606124071768337,0.26090159944468055,0.6181927160044817,0.22124763640908438,0.1605596475864339,0.6180343568961085,0.22133743636099598,0.1606282067428955
72,0,0.2395324578604671,0.23793643540126885,0.2580088845607624,0.2645222221775017,0.6266195394676772,0.23606207432172935,0.1373183862105935,0.6265611594780356,0.2360829445727642,0.13735589594920025
73,0,0.2395323008790841,0.23794198382151874,0.25800666514199927,0.26451905015739796,0.6625609457362042,0.20365894762535833,0.13378010663843748,0.66235979914779,0.20387014780189136,0.1337700530503186
74,1,0.2395322564641539,0.23794355337209108,0.25800603730833427,0.26451815285542074,0.5904716308455585,0.247606658956977,0.16192171019746449,0.5904270298791741,0.24771972973864773,0.16185324038217824
75,1,0.2395322411578714,0.23794409424329616,0.25800582095531366,0.26451784364351877,0.49039094312037435,0.2610602683168886,0.248548788562737,0.4904788976083261,0.26119509879876956,0.2483260035929043
76,2,0.24010341063995255,0.23838772404036826,0.2606102597326176,0.2608986055870616,0.2898415636460524,0.256887543028534,0.45327089332541365,0.2898815788049626,0.25683949535026973,0.45327892584476775
77,1,0.24010307232710157,0.23839911536740013,0.2606056430170254,0.2608921692884729,0.5479181188228713,0.22710451085593553,0.22497737032119317,0.5478879011012776,0.2272021903416255,0.22490990855709692
78,0,0.2401033179600273,0.23839084525917176,0.26060899475232,0.26089684202848096,0.5690899451690808,0.21789344718434064,0.21301660764657854,0.5689647488463436,0.21793861141662463,0.21309663973703175
79,2,0.24010370979250156,0.238377646296939,0.2606143440928048,0.2609042998177546,0.41182442152737114,0.26595143877417465,0.32222413969845415,0.41192475810927937,0.2659350074607907,0.32214023442992995
