match_id,match_date,league,era_bin,home_team,away_team,result,pH_cons_w,pD_cons_w,pA_cons_w,pH_cons_e,pD_cons_e,pA_cons_e,dispH,dispD,dispA,avg_dispersion,max_dispersion,n_books,avg_overround,overround_std,disagree_js,max_kl_div,avg_kl_div,actual,y,pH_mkt,pD_mkt,pA_mkt,feat_league_tier,feat_total_dispersion,feat_max_dispersion,feat_market_confidence,feat_book_coverage,match_date_dt,feat_month,feat_is_weekend,feat_season_phase,feat_disp_x_books,feat_conf_x_tier,pH_equal,pD_equal,pA_equal,pH_weighted,pD_weighted,pA_weighted,has_pinnacle
6286,2024-06-02,I1,2023-2024,Atalanta,Fiorentina,A,0.6495331749521149,0.2026680503875364,0.1477987746603485,0.6495338785304695,0.2026562315408068,0.1478098899287236,0.0047594105068066,0.0074726543445484,0.009617265967761,0.0072831102730387,0.009617265967761,5,1.0606999853489292,0.0177677694933607,0.000118663275611,0.0015901282421785,0.00047235519113,"[0, 0, 1]",2,0.6495331749521149,0.2026680503875364,0.1477987746603485,1,0.021849330819115997,0.009617265967761,0.9786178547461575,0.625,2024-06-02,6,1,1.0,0.10924665409557999,0.9786178547461575,0.6495331749521149,0.2026680503875364,0.1477987746603485,0.6495331749521149,0.2026680503875364,0.1477987746603485,1
6280,2024-05-26,I1,2023-2024,Atalanta,Torino,H,0.2763648387694725,0.2805957663650161,0.4430393948655113,0.2763686392021515,0.2805906475619958,0.4430407132358526,0.0085378686165032,0.0084472701034205,0.0046693107993358,0.0072181498397531,0.0085378686165032,5,1.06613972131804,0.0213698900031412,7.079967804174482e-05,0.0004191560948841,0.0002833352056232,"[1, 0, 0]",0,0.2763648387694725,0.2805957663650161,0.4430393948655113,1,0.021654449519259503,0.0085378686165032,0.9788045267855008,0.625,2024-05-26,5,1,2.0,0.10827224759629751,0.9788045267855008,0.2763648387694725,0.2805957663650161,0.4430393948655113,0.2763648387694725,0.2805957663650161,0.4430393948655113,1
6281,2024-05-26,I1,2023-2024,Napoli,Lecce,D,0.6669325531868122,0.1976601093328384,0.1354073374803494,0.6669353755920222,0.1976509794017943,0.1354136450061834,0.0059868230317469,0.0074004034072001,0.0104331488514923,0.0079401250968131,0.0104331488514923,5,1.0638238824394783,0.0187814226058377,0.0001419196679523,0.0011481107686704,0.0005674463818392,"[0, 1, 0]",1,0.6669325531868122,0.1976601093328384,0.1354073374803494,1,0.0238203752904393,0.0104331488514923,0.9767338335265285,0.625,2024-05-26,5,1,2.0,0.1191018764521965,0.9767338335265285,0.6669325531868122,0.1976601093328384,0.1354073374803494,0.6669325531868122,0.1976601093328384,0.1354073374803494,1
6282,2024-05-26,I1,2023-2024,Empoli,Roma,H,0.4798870766866597,0.26198759130585,0.2581253320074901,0.4798909156674604,0.2619717138047487,0.2581373705277908,0.0029940731861114,0.0097111704084594,0.0077344101146124,0.0068132179030611,0.0097111704084594,5,1.065633121181987,0.018626925507913,7.607172429354898e-05,0.0010908913584302,0.0003045642702561,"[1, 0, 0]",0,0.4798870766866597,0.26198759130585,0.2581253320074901,1,0.0204396537091832,0.0097111704084594,0.979969757511003,0.625,2024-05-26,5,1,2.0,0.102198268545916,0.979969757511003,0.4798870766866597,0.26198759130585,0.2581253320074901,0.4798870766866597,0.26198759130585,0.2581253320074901,1
6284,2024-05-26,I1,2023-2024,Lazio,Sassuolo,D,0.7024373089759524,0.1798930734944619,0.1176696175295855,0.7024367644270088,0.1798825587247045,0.1176806768482865,0.0064797004234929,0.0062127431717782,0.0085129243172524,0.0070684559708412,0.0085129243172524,5,1.0612612303047524,0.0175974933408163,0.0001146203164304,0.0014849165666775,0.0004538738917443,"[0, 1, 0]",1,0.7024373089759524,0.1798930734944619,0.1176696175295855,1,0.0212053679125235,0.0085129243172524,0.9792349623505505,0.625,2024-05-26,5,1,2.0,0.1060268395626175,0.9792349623505505,0.7024373089759524,0.1798930734944619,0.1176696175295855,0.7024373089759524,0.1798930734944619,0.1176696175295855,1
6285,2024-05-26,I1,2023-2024,Verona,Inter,D,0.1690632414038044,0.2220717215176483,0.6088650370785472,0.1690704061083459,0.2220603342404739,0.6088692596511802,0.0068850585138051,0.0083565994951352,0.0064866873379464,0.0072427817822956,0.0083565994951352,5,1.0696152418168583,0.0189640831168042,8.272345477277487e-05,0.0006371132449393,0.0003312328282208,"[0, 1, 0]",1,0.1690632414038044,0.2220717215176483,0.6088650370785472,1,0.0217283453468867,0.0083565994951352,0.9787337353946957,0.625,2024-05-26,5,1,2.0,0.1086417267344335,0.9787337353946957,0.1690632414038044,0.2220717215176483,0.6088650370785472,0.1690632414038044,0.2220717215176483,0.6088650370785472,1
6283,2024-05-26,I1,2023-2024,Frosinone,Udinese,A,0.3942361312360187,0.2971543214497797,0.3086095473142014,0.394234617395377,0.2971510592235722,0.3086143233810507,0.0021400842636546,0.0078093035605152,0.0064655829974187,0.0054716569405295,0.0078093035605152,5,1.0653432065044983,0.0202457468950124,4.396441873781797e-05,0.0004176885781162,0.0001759518526318,"[0, 0, 1]",2,0.3942361312360187,0.2971543214497797,0.3086095473142014,1,0.0164149708215885,0.0078093035605152,0.9838501288422384,0.625,2024-05-26,5,1,2.0,0.08207485410794249,0.9838501288422384,0.3942361312360187,0.2971543214497797,0.3086095473142014,0.3942361312360187,0.2971543214497797,0.3086095473142014,1
6279,2024-05-25,I1,2023-2024,Milan,Salernitana,D,0.8135087806403392,0.1167388675752578,0.0697523517844029,0.813511092243792,0.116732737373794,0.0697561703824138,0.0092244447826933,0.0053948460788305,0.0069516152835962,0.0071903020483734,0.0092244447826933,5,1.0621203139846285,0.0202544049355225,0.0001320139816011,0.0007299249662467,0.0005263385428665,"[0, 1, 0]",1,0.8135087806403392,0.1167388675752578,0.0697523517844029,1,0.02157090614512,0.0092244447826933,0.978884572754213,0.625,2024-05-25,5,1,2.0,0.1078545307256,0.978884572754213,0.8135087806403392,0.1167388675752578,0.0697523517844029,0.8135087806403392,0.1167388675752578,0.0697523517844029,1
6278,2024-05-25,I1,2023-2024,Juventus,Monza,H,0.717777939264556,0.175698104582993,0.1065239561524508,0.7177747099303892,0.1756915904837378,0.1065336995858729,0.0081619381902993,0.0047074328348274,0.0085304364843205,0.0071332691698157,0.0085304364843205,5,1.062510868128696,0.0194133440173941,0.0001164253253439,0.00137277202617,0.0004606368053157,"[1, 0, 0]",0,0.717777939264556,0.175698104582993,0.1065239561524508,1,0.0213998075094472,0.0085304364843205,0.9790485494983322,0.625,2024-05-25,5,1,2.0,0.106999037547236,0.9790485494983322,0.717777939264556,0.175698104582993,0.1065239561524508,0.717777939264556,0.175698104582993,0.1065239561524508,1
6277,2024-05-24,I1,2023-2024,Genoa,Bologna,H,0.2743067217700424,0.2919748196960166,0.4337184585339408,0.2743154606812462,0.2919647105774773,0.4337198287412764,0.0058435715354113,0.0085900932017993,0.0049885148949485,0.0064740598773864,0.0085900932017993,5,1.052942125101893,0.0074753464968888,5.443096747559055e-05,0.0005541336377392,0.0002175714992857,"[1, 0, 0]",0,0.2743067217700424,0.2919748196960166,0.4337184585339408,1,0.0194221796321591,0.0085900932017993,0.9809478545589744,0.625,2024-05-24,5,0,2.0,0.0971108981607955,0.9809478545589744,0.2743067217700424,0.2919748196960166,0.4337184585339408,0.2743067217700424,0.2919748196960166,0.4337184585339408,1
