match_id,match_date,league,home_team,away_team,result,pH_weighted,pD_weighted,pA_weighted,pH_equal,pD_equal,pA_equal,n_books,books_used,has_pinnacle,dispH,dispD,dispA,y,pH_mkt,pD_mkt,pA_mkt,feat_league_tier,feat_total_dispersion,feat_market_confidence,feat_book_coverage,feat_has_pinnacle,feat_consensus_diff,match_date_dt,feat_month,feat_is_weekend,feat_season_phase,feat_disp_x_books,feat_sharp_x_diff,diff_H,diff_D,diff_A,mean_abs_diff,max_abs_diff,identical_triplet
6286,2024-06-02,I1,Atalanta,Fiorentina,A,0.6485909021545255,0.1987192134873223,0.1526898843581521,0.6488738699022173,0.198972463339052,0.1521536667587306,4,"b365,bw,wh,ps",1,0.0080130509839035,0.0049873806666218,0.0065561744999453,2,0.6485909021545255,0.1987192134873223,0.1526898843581521,1,0.0195566061504706,0.9808185185280588,0.6666666666666666,1,0.001072435198843,2024-06-02,6,1,1.0,0.0782264246018827,0.001072435198843,0.0002829677476917647,0.0002532498517296977,0.0005362175994214902,0.00035747839961431754,0.0005362175994214902,False
6280,2024-05-26,I1,Atalanta,Torino,H,0.2784085831186784,0.2772643639367489,0.4443270529445725,0.2788884126628612,0.2777234341120381,0.4433881532251007,4,"b365,bw,wh,ps",1,0.0069111078745629,0.0051292524521118,0.00666574943044,0,0.2784085831186784,0.2772643639367489,0.4443270529445725,1,0.0187061097571148,0.9816373833650855,0.6666666666666666,1,0.0018777994389436,2024-05-26,5,1,2.0,0.0748244390284594,0.0018777994389436,0.0004798295441827971,0.00045907017528917793,0.000938899719471753,0.000625933146314576,0.000938899719471753,False
6281,2024-05-26,I1,Napoli,Lecce,D,0.6661979757404264,0.1940566650595113,0.1397453592000622,0.6664922275742388,0.1945554773687618,0.1389522950569994,4,"b365,bw,wh,ps",1,0.0068672908051695,0.0044224316580486,0.0063166760026476,1,0.6661979757404264,0.1940566650595113,0.1397453592000622,1,0.0176063984658658,0.9826982235052676,0.6666666666666666,1,0.0015861282861256,2024-05-26,5,1,2.0,0.0704255938634632,0.0015861282861256,0.00029425183381237563,0.0004988123092505015,0.0007930641430627938,0.000528709428708557,0.0007930641430627938,False
6282,2024-05-26,I1,Empoli,Roma,H,0.4808238155344216,0.2570054904573904,0.2621706940081878,0.4806471719246366,0.2574020383236264,0.261950789751737,4,"b365,bw,wh,ps",1,0.0080213918961924,0.0046188975187384,0.0073610422061518,0,0.4808238155344216,0.2570054904573904,0.2621706940081878,1,0.0200013316210827,0.9803908769518028,0.6666666666666666,1,0.0007930957324718,2024-05-26,5,1,2.0,0.080005326484331,0.0007930957324718,0.00017664360978503213,0.0003965478662359967,0.00021990425645079803,0.00026436524415727564,0.0003965478662359967,False
6284,2024-05-26,I1,Lazio,Sassuolo,D,0.7008242133921304,0.1774064110023485,0.1217693756055209,0.7010025799067324,0.1772727912061167,0.1217246288871508,4,"b365,bw,wh,ps",1,0.006874546510123,0.0053780358373338,0.0065187237255933,1,0.7008242133921304,0.1774064110023485,0.1217693756055209,1,0.0187713060730502,0.981574563436218,0.6666666666666666,1,0.0003567330292039,2024-05-26,5,1,2.0,0.0750852242922009,0.0003567330292039,0.00017836651460201303,0.0001336197962318042,4.4746718370097804e-05,0.00011891100973463835,0.00017836651460201303,False
6285,2024-05-26,I1,Verona,Inter,D,0.171152160289068,0.2190392412188687,0.6098085984920633,0.1717038612939689,0.2191404584509989,0.6091556802550322,4,"b365,bw,wh,ps",1,0.0068704863616964,0.0045904985138184,0.0059102977500393,1,0.171152160289068,0.2190392412188687,0.6098085984920633,1,0.0173712826255542,0.9829253263560538,0.6666666666666666,1,0.0013058364740622,2024-05-26,5,1,2.0,0.0694851305022169,0.0013058364740622,0.0005517010049009008,0.00010121723213019074,0.0006529182370310638,0.0004352788246873851,0.0006529182370310638,False
6283,2024-05-26,I1,Frosinone,Udinese,A,0.3938890569738448,0.2974678428006593,0.3086431002254957,0.3941090612179054,0.2957809292926232,0.3101100094894713,4,"b365,bw,wh,ps",1,0.0085291802552727,0.0043966157421868,0.0061540392989507,2,0.3938890569738448,0.2974678428006593,0.3086431002254957,1,0.0190798352964102,0.981277389037081,0.6666666666666666,1,0.0033738270160724,2024-05-26,5,1,2.0,0.0763193411856409,0.0033738270160724,0.00022000424406060093,0.0016869135080361253,0.0014669092639756354,0.0011246090053574538,0.0016869135080361253,False
6279,2024-05-25,I1,Milan,Salernitana,D,0.8120685448938398,0.1151801102961781,0.0727513448099819,0.812306213913578,0.1156376893113506,0.0720560967750713,4,"b365,bw,wh,ps",1,0.0058414271848117,0.0047436354412362,0.0069764298164553,1,0.8120685448938398,0.1151801102961781,0.0727513448099819,1,0.0175614924425033,0.9827415909771215,0.6666666666666666,1,0.0013904960698212,2024-05-25,5,1,2.0,0.0702459697700133,0.0013904960698212,0.00023766901973820698,0.00045757901517250177,0.0006952480349105977,0.00046349868994043547,0.0006952480349105977,False
6278,2024-05-25,I1,Juventus,Monza,H,0.715428902888876,0.1739014981836286,0.1106695989274953,0.7154002055948048,0.1741599426501268,0.1104398517550684,4,"b365,bw,wh,ps",1,0.0061751187516678,0.0045008726415084,0.0068692429837487,0,0.715428902888876,0.1739014981836286,0.1106695989274953,1,0.0175452343769249,0.9827572929593952,0.6666666666666666,1,0.0005168889329962,2024-05-25,5,1,2.0,0.0701809375076999,0.0005168889329962,2.869729407117827e-05,0.00025844446649819774,0.00022974717242689457,0.00017229631099875686,0.00025844446649819774,False
6277,2024-05-24,I1,Genoa,Bologna,H,0.2766037655278145,0.288188540038165,0.4352076944340203,0.2770642100214418,0.2885080117739702,0.4344277782045879,4,"b365,bw,wh,ps",1,0.0067381280719834,0.004534177376095,0.0057609029960613,0,0.2766037655278145,0.288188540038165,0.4352076944340203,1,0.0170332084441397,0.9832520626635218,0.6666666666666666,1,0.0015598324588648,2024-05-24,5,0,2.0,0.0681328337765591,0.0015598324588648,0.00046044449362731,0.00031947173580515464,0.0007799162294324091,0.0005199441529549579,0.0007799162294324091,False
