league,count,identical_pct,mean_abs_diff,max_abs_diff
D1,306,100.00%,0.000000,0.000000
E0,561,100.00%,0.000000,0.000000
F1,380,100.00%,0.000000,0.000000
I1,380,100.00%,0.000000,0.000000
