match_id,match_date,league,era_bin,home_team,away_team,result,pH_cons_w,pD_cons_w,pA_cons_w,pH_cons_e,pD_cons_e,pA_cons_e,dispH,dispD,dispA,avg_dispersion,max_dispersion,n_books,avg_overround,overround_std,disagree_js,max_kl_div,avg_kl_div,actual
6286,2024-06-02,I1,2023-2024,Atalanta,Fiorentina,A,0.6495331749521149,0.20266805038753646,0.14779877466034852,0.6495338785304695,0.20265623154080686,0.14780988992872363,0.004759410506806634,0.007472654344548441,0.009617265967761085,0.007283110273038719,0.009617265967761085,5,1.0606999853489292,0.01776776949336077,0.0001186632756110212,0.001590128242178572,0.00047235519113009497,"[0, 0, 1]"
6280,2024-05-26,I1,2023-2024,Atalanta,Torino,H,0.2763648387694725,0.2805957663650161,0.4430393948655113,0.2763686392021515,0.28059064756199587,0.44304071323585265,0.008537868616503245,0.00844727010342053,0.004669310799335816,0.007218149839753198,0.008537868616503245,5,1.0661397213180401,0.021369890003141243,7.079967804174482e-05,0.0004191560948841888,0.00028333520562323644,"[1, 0, 0]"
6281,2024-05-26,I1,2023-2024,Napoli,Lecce,D,0.6669325531868122,0.19766010933283842,0.13540733748034942,0.6669353755920222,0.19765097940179438,0.1354136450061834,0.005986823031746973,0.0074004034072001935,0.010433148851492347,0.00794012509681317,0.010433148851492347,5,1.0638238824394783,0.01878142260583778,0.00014191966795234982,0.0011481107686704562,0.0005674463818392447,"[0, 1, 0]"
6282,2024-05-26,I1,2023-2024,Empoli,Roma,H,0.47988707668665975,0.26198759130585003,0.25812533200749016,0.4798909156674604,0.2619717138047487,0.25813737052779084,0.002994073186111487,0.009711170408459464,0.007734410114612466,0.006813217903061139,0.009711170408459464,5,1.065633121181987,0.018626925507913072,7.607172429354898e-05,0.00109089135843027,0.00030456427025619026,"[1, 0, 0]"
6284,2024-05-26,I1,2023-2024,Lazio,Sassuolo,D,0.7024373089759524,0.17989307349446193,0.11766961752958555,0.7024367644270088,0.17988255872470454,0.11768067684828658,0.006479700423492935,0.00621274317177827,0.008512924317252462,0.007068455970841222,0.008512924317252462,5,1.0612612303047524,0.017597493340816322,0.00011462031643047596,0.0014849165666775046,0.00045387389174438307,"[0, 1, 0]"
6285,2024-05-26,I1,2023-2024,Verona,Inter,D,0.1690632414038044,0.22207172151764837,0.6088650370785472,0.16907040610834592,0.22206033424047394,0.6088692596511802,0.006885058513805135,0.008356599495135288,0.0064866873379464994,0.007242781782295641,0.008356599495135288,5,1.0696152418168585,0.0189640831168042,8.272345477277487e-05,0.0006371132449393049,0.00033123282822084216,"[0, 1, 0]"
6283,2024-05-26,I1,2023-2024,Frosinone,Udinese,A,0.39423613123601875,0.29715432144977977,0.3086095473142014,0.394234617395377,0.2971510592235722,0.30861432338105077,0.0021400842636546836,0.007809303560515204,0.006465582997418743,0.005471656940529544,0.007809303560515204,5,1.0653432065044985,0.02024574689501241,4.396441873781797e-05,0.0004176885781162071,0.00017595185263189535,"[0, 0, 1]"
6279,2024-05-25,I1,2023-2024,Milan,Salernitana,D,0.8135087806403392,0.11673886757525785,0.06975235178440298,0.813511092243792,0.11673273737379408,0.06975617038241388,0.00922444478269335,0.005394846078830592,0.006951615283596272,0.007190302048373405,0.00922444478269335,5,1.0621203139846285,0.020254404935522538,0.00013201398160110967,0.0007299249662467162,0.0005263385428665534,"[0, 1, 0]"
6278,2024-05-25,I1,2023-2024,Juventus,Monza,H,0.717777939264556,0.175698104582993,0.10652395615245089,0.7177747099303892,0.1756915904837378,0.10653369958587297,0.008161938190299322,0.004707432834827408,0.008530436484320515,0.0071332691698157485,0.008530436484320515,5,1.062510868128696,0.01941334401739413,0.00011642532534390984,0.0013727720261700119,0.0004606368053157846,"[1, 0, 0]"
6277,2024-05-24,I1,2023-2024,Genoa,Bologna,H,0.27430672177004245,0.2919748196960166,0.43371845853394086,0.2743154606812462,0.2919647105774773,0.43371982874127646,0.005843571535411376,0.008590093201799357,0.004988514894948587,0.006474059877386439,0.008590093201799357,5,1.052942125101893,0.007475346496888815,5.4430967475590546e-05,0.0005541336377392837,0.00021757149928571348,"[1, 0, 0]"
6276,2024-05-23,I1,2023-2024,Cagliari,Fiorentina,A,0.22219156744960727,0.2530192674535649,0.5247891650968277,0.22219989992699135,0.2530110783292875,0.5247890217437211,0.006815179950684408,0.005237893706971237,0.002684222817752727,0.004912432158469458,0.006815179950684408,5,1.0517310903947323,0.01125037410410772,4.1476452290942736e-05,0.0005144106827205182,0.00016579592944359362,"[0, 0, 1]"
6274,2024-05-20,I1,2023-2024,Salernitana,Verona,A,0.1911045055219332,0.25178560182144116,0.5571098926566256,0.19111191623815843,0.2517739469948059,0.5571141367670356,0.005956479859147424,0.008420003101555152,0.0068371433267029776,0.007071208762468518,0.008420003101555152,5,1.0624673914732508,0.02054060220931767,6.841799506477538e-05,0.000736491329336948,0.00027428808379872233,"[0, 0, 1]"
6275,2024-05-20,I1,2023-2024,Bologna,Juventus,D,0.3854357267264057,0.3099475075839981,0.30461676568959617,0.38543796240029554,0.3099356139447363,0.3046264236549683,0.003118904538499091,0.00812227023290616,0.008214263460686832,0.006485146077364028,0.008214263460686832,5,1.062785106126361,0.02183389641653989,5.720902729607555e-05,0.0005747372983872182,0.00022914798568855863,"[0, 1, 0]"
