match_id,match_date,league,home_team,away_team,result,pH_weighted,pD_weighted,pA_weighted,pH_equal,pD_equal,pA_equal,n_books,books_used,has_pinnacle,dispH,dispD,dispA,y,pH_mkt,pD_mkt,pA_mkt,feat_league_tier,feat_total_dispersion,feat_market_confidence,feat_book_coverage,feat_has_pinnacle,feat_consensus_diff,match_date_dt,feat_month,feat_is_weekend,feat_season_phase,feat_disp_x_books,feat_sharp_x_diff
6286,2024-06-02,I1,Atalanta,Fiorentina,A,0.6485909021545255,0.19871921348732233,0.1526898843581521,0.6488738699022173,0.19897246333905208,0.1521536667587306,4,"b365,bw,wh,ps",1,0.008013050983903506,0.004987380666621845,0.006556174499945323,2,0.6485909021545255,0.19871921348732233,0.1526898843581521,1,0.019556606150470675,0.9808185185280587,0.6666666666666666,1,0.001072435198843008,2024-06-02,6,1,1.0,0.0782264246018827,0.001072435198843008
6280,2024-05-26,I1,Atalanta,Torino,H,0.27840858311867844,0.27726436393674897,0.4443270529445725,0.2788884126628612,0.2777234341120381,0.4433881532251007,4,"b365,bw,wh,ps",1,0.00691110787456293,0.005129252452111854,0.006665749430440069,0,0.27840858311867844,0.27726436393674897,0.4443270529445725,1,0.018706109757114855,0.9816373833650857,0.6666666666666666,1,0.001877799438943617,2024-05-26,5,1,2.0,0.07482443902845942,0.001877799438943617
6281,2024-05-26,I1,Napoli,Lecce,D,0.6661979757404264,0.19405666505951136,0.13974535920006226,0.6664922275742388,0.19455547736876186,0.13895229505699946,4,"b365,bw,wh,ps",1,0.006867290805169537,0.004422431658048656,0.00631667600264763,1,0.6661979757404264,0.19405666505951136,0.13974535920006226,1,0.01760639846586582,0.9826982235052677,0.6666666666666666,1,0.001586128286125671,2024-05-26,5,1,2.0,0.07042559386346328,0.001586128286125671
6282,2024-05-26,I1,Empoli,Roma,H,0.48082381553442166,0.25700549045739046,0.2621706940081878,0.4806471719246366,0.2574020383236264,0.261950789751737,4,"b365,bw,wh,ps",1,0.00802139189619246,0.004618897518738406,0.007361042206151886,0,0.48082381553442166,0.25700549045739046,0.2621706940081878,1,0.020001331621082752,0.9803908769518028,0.6666666666666666,1,0.0007930957324718269,2024-05-26,5,1,2.0,0.08000532648433101,0.0007930957324718269
6284,2024-05-26,I1,Lazio,Sassuolo,D,0.7008242133921304,0.17740641100234852,0.12176937560552095,0.7010025799067324,0.17727279120611672,0.1217246288871508,4,"b365,bw,wh,ps",1,0.0068745465101230675,0.005378035837333835,0.006518723725593347,1,0.7008242133921304,0.17740641100234852,0.12176937560552095,1,0.018771306073050248,0.981574563436218,0.6666666666666666,1,0.00035673302920397054,2024-05-26,5,1,2.0,0.07508522429220099,0.00035673302920397054
6285,2024-05-26,I1,Verona,Inter,D,0.171152160289068,0.2190392412188687,0.6098085984920633,0.17170386129396897,0.2191404584509989,0.6091556802550322,4,"b365,bw,wh,ps",1,0.0068704863616964856,0.004590498513818428,0.005910297750039319,1,0.171152160289068,0.2190392412188687,0.6098085984920633,1,0.017371282625554235,0.9829253263560538,0.6666666666666666,1,0.0013058364740622386,2024-05-26,5,1,2.0,0.06948513050221694,0.0013058364740622386
6283,2024-05-26,I1,Frosinone,Udinese,A,0.3938890569738448,0.29746784280065935,0.30864310022549574,0.39410906121790545,0.2957809292926232,0.31011000948947137,4,"b365,bw,wh,ps",1,0.0085291802552727,0.004396615742186807,0.006154039298950736,2,0.3938890569738448,0.29746784280065935,0.30864310022549574,1,0.019079835296410243,0.981277389037081,0.6666666666666666,1,0.0033738270160724726,2024-05-26,5,1,2.0,0.07631934118564097,0.0033738270160724726
6279,2024-05-25,I1,Milan,Salernitana,D,0.8120685448938398,0.11518011029617815,0.0727513448099819,0.812306213913578,0.11563768931135063,0.07205609677507137,4,"b365,bw,wh,ps",1,0.005841427184811715,0.004743635441236262,0.006976429816455347,1,0.8120685448938398,0.11518011029617815,0.0727513448099819,1,0.017561492442503324,0.9827415909771215,0.6666666666666666,1,0.0013904960698212093,2024-05-25,5,1,2.0,0.0702459697700133,0.0013904960698212093
6278,2024-05-25,I1,Juventus,Monza,H,0.715428902888876,0.17390149818362868,0.11066959892749538,0.7154002055948048,0.17415994265012683,0.11043985175506849,4,"b365,bw,wh,ps",1,0.0061751187516678125,0.004500872641508477,0.006869242983748704,0,0.715428902888876,0.17390149818362868,0.11066959892749538,1,0.017545234376924995,0.9827572929593952,0.6666666666666666,1,0.0005168889329962151,2024-05-25,5,1,2.0,0.07018093750769998,0.0005168889329962151
6277,2024-05-24,I1,Genoa,Bologna,H,0.27660376552781457,0.288188540038165,0.4352076944340203,0.2770642100214418,0.28850801177397023,0.4344277782045879,4,"b365,bw,wh,ps",1,0.006738128071983426,0.004534177376095044,0.00576090299606132,0,0.27660376552781457,0.288188540038165,0.4352076944340203,1,0.01703320844413979,0.9832520626635218,0.6666666666666666,1,0.0015598324588648738,2024-05-24,5,0,2.0,0.06813283377655915,0.0015598324588648738
6276,2024-05-23,I1,Cagliari,Fiorentina,A,0.2243987800463983,0.2508017412431734,0.5247994787104282,0.22511829596137078,0.2504743742273988,0.5244073298112304,4,"b365,bw,wh,ps",1,0.00664300459473602,0.004640245589587161,0.006633139698483937,2,0.2243987800463983,0.2508017412431734,0.5247994787104282,1,0.017916389882807117,0.9823989572612443,0.6666666666666666,1,0.0014390318299448701,2024-05-23,5,0,2.0,0.07166555953122847,0.0014390318299448701
6274,2024-05-20,I1,Salernitana,Verona,A,0.19263078617706803,0.24704963365223476,0.560319580170697,0.193442714481107,0.24788334430734404,0.5586739412115489,4,"b365,bw,wh,ps",1,0.006353877441935508,0.00475235936253833,0.0075118838877742105,2,0.19263078617706803,0.24704963365223476,0.560319580170697,1,0.01861812069224805,0.9817221780036711,0.6666666666666666,1,0.0032912779182964202,2024-05-20,5,0,2.0,0.0744724827689922,0.0032912779182964202
6275,2024-05-20,I1,Bologna,Juventus,D,0.3869881418478688,0.3071681712427826,0.3058436869093485,0.38629529650006134,0.3062426844056585,0.3074620190942803,4,"b365,bw,wh,ps",1,0.008814279277871892,0.004537073872069851,0.008116438260153826,1,0.3869881418478688,0.3071681712427826,0.3058436869093485,1,0.02146779141009557,0.9789833888149717,0.6666666666666666,1,0.0032366643698633624,2024-05-20,5,0,2.0,0.08587116564038227,0.0032366643698633624
6270,2024-05-19,I1,Monza,Frosinone,A,0.32368279096180896,0.2687211718712326,0.40759603716695836,0.32425640862706806,0.268453129786252,0.4072904615866799,4,"b365,bw,wh,ps",1,0.005849231248041026,0.004701775430147944,0.007970540833466464,2,0.32368279096180896,0.2687211718712326,0.40759603716695836,1,0.018521547511655433,0.9818152619776133,0.6666666666666666,1,0.001147235330518137,2024-05-19,5,1,2.0,0.07408619004662173,0.001147235330518137
6272,2024-05-19,I1,Inter,Lazio,D,0.5768111210124466,0.22905153098342146,0.19413734800413196,0.577382405891219,0.22920870137500537,0.1934088927337756,4,"b365,bw,wh,ps",1,0.0077804250119894456,0.005222591036429574,0.008120379793391292,1,0.5768111210124466,0.22905153098342146,0.19413734800413196,1,0.021123395841810312,0.9793135717702401,0.6666666666666666,1,0.0014569105407127303,2024-05-19,5,1,2.0,0.08449358336724125,0.0014569105407127303
6273,2024-05-19,I1,Roma,Genoa,H,0.6403160567463694,0.21980669789782578,0.13987724535580473,0.6398337576232296,0.2202886400508739,0.13987760232589647,4,"b365,bw,wh,ps",1,0.006782384070006016,0.004189566413000531,0.007494070074634484,0,0.6403160567463694,0.21980669789782578,0.13987724535580473,1,0.01846602055764103,0.9818687907255558,0.6666666666666666,1,0.0009645982462796465,2024-05-19,5,1,2.0,0.07386408223056412,0.0009645982462796465
6271,2024-05-19,I1,Udinese,Empoli,D,0.46964709062507076,0.2844532250666069,0.2458996843083222,0.46968244756678845,0.28361133884251355,0.24670621359069794,4,"b365,bw,wh,ps",1,0.0069976077628784985,0.00458082795737827,0.007768373702812944,1,0.46964709062507076,0.2844532250666069,0.2458996843083222,1,0.019346809423069714,0.9810203855604162,0.6666666666666666,1,0.0016837724481867933,2024-05-19,5,1,2.0,0.07738723769227886,0.0016837724481867933
6269,2024-05-19,I1,Sassuolo,Cagliari,A,0.40714236879711474,0.280365908055827,0.31249172314705814,0.40744149436353044,0.28018597801680745,0.31237252761966217,4,"b365,bw,wh,ps",1,0.008858005577290246,0.005722969935507919,0.00442819641046399,2,0.40714236879711474,0.280365908055827,0.31249172314705814,1,0.019009171923262153,0.9813454358930014,0.6666666666666666,1,0.0005982511328312401,2024-05-19,5,1,2.0,0.07603668769304861,0.0005982511328312401
11399,2024-05-18,D1,Union Berlin,Freiburg,H,0.44881763553468124,0.27837188589058254,0.2728104785747362,0.4490901381439263,0.27724220883451095,0.27366765302156276,4,"b365,bw,wh,ps",1,0.008180202531366143,0.004817261675995763,0.009482583501592397,0,0.44881763553468124,0.27837188589058254,0.2728104785747362,1,0.0224800477089543,0.9780141942531545,0.6666666666666666,1,0.002259354112143175,2024-05-18,5,1,2.0,0.0899201908358172,0.002259354112143175
11401,2024-05-18,D1,Wolfsburg,Mainz,A,0.2989846753453786,0.2668433560417736,0.43417196861284757,0.30018249501280064,0.2654593469719109,0.43435815801528843,4,"b365,bw,wh,ps",1,0.007656711794091076,0.004452571696146987,0.006737064357790996,2,0.2989846753453786,0.2668433560417736,0.43417196861284757,1,0.01884634784802906,0.9815022668650326,0.6666666666666666,1,0.002768018139725603,2024-05-18,5,1,2.0,0.07538539139211624,0.002768018139725603
11400,2024-05-18,D1,Werder Bremen,Bochum,H,0.3979857208707078,0.2628378727089911,0.33917640642030106,0.3966966866341143,0.26190252901536937,0.3414007843505164,4,"b365,bw,wh,ps",1,0.006495201478770669,0.004195129180752197,0.008647929313565434,0,0.3979857208707078,0.2628378727089911,0.33917640642030106,1,0.0193382599730883,0.9810286136286116,0.6666666666666666,1,0.004448755860430642,2024-05-18,5,1,2.0,0.0773530398923532,0.004448755860430642
11398,2024-05-18,D1,Stuttgart,M'gladbach,H,0.7428772064808858,0.146480768224275,0.11064202529483905,0.743346269634985,0.14659594253633101,0.11005778782868406,4,"b365,bw,wh,ps",1,0.006594795564466445,0.0038091233334735745,0.007673138594698469,0,0.7428772064808858,0.146480768224275,0.11064202529483905,1,0.018077057492638486,0.9822439201830562,0.6666666666666666,1,0.0011684749323101207,2024-05-18,5,1,2.0,0.07230822997055394,0.0011684749323101207
11397,2024-05-18,D1,Leverkusen,Augsburg,H,0.7392518251069531,0.1479580073255499,0.11279016756749695,0.7410018711209821,0.14813051964742407,0.11086760923159383,4,"b365,bw,wh,ps",1,0.00686683973583723,0.0055816052295683755,0.0071572080738854385,0,0.7392518251069531,0.1479580073255499,0.11279016756749695,1,0.019605653039291043,0.9807713374471302,0.6666666666666666,1,0.003845116671806356,2024-05-18,5,1,2.0,0.07842261215716417,0.003845116671806356
11396,2024-05-18,D1,Hoffenheim,Bayern Munich,H,0.3166169708365649,0.21518256540409897,0.468200463759336,0.31677486275925926,0.21425787484725425,0.4689672623934864,4,"b365,bw,wh,ps",1,0.008319749691297139,0.004053947483866503,0.006165312591663336,0,0.3166169708365649,0.21518256540409897,0.468200463759336,1,0.01853900976682698,0.981798429329603,0.6666666666666666,1,0.0018493811136894578,2024-05-18,5,1,2.0,0.07415603906730792,0.0018493811136894578
11395,2024-05-18,D1,Heidenheim,FC Koln,H,0.4082523242810107,0.24005727553352035,0.3516904001854689,0.4080763611473182,0.24019976253719888,0.35172387631548296,4,"b365,bw,wh,ps",1,0.006514500746219995,0.004688995145152329,0.008017582418063274,0,0.4082523242810107,0.24005727553352035,0.3516904001854689,1,0.019221078309435598,0.98114140423654,0.6666666666666666,1,0.00035192626738511645,2024-05-18,5,1,2.0,0.07688431323774239,0.00035192626738511645
11394,2024-05-18,D1,Ein Frankfurt,RB Leipzig,D,0.34792538761170294,0.2502737726904451,0.40180083969785185,0.349125180835986,0.24874722166772467,0.40212759749628935,4,"b365,bw,wh,ps",1,0.006580457589260718,0.004576662141333286,0.004119712698002685,1,0.34792538761170294,0.2502737726904451,0.40180083969785185,1,0.01527683242859669,0.9849530374961342,0.6666666666666666,1,0.0030531020454409585,2024-05-18,5,1,2.0,0.06110732971438676,0.0030531020454409585
11393,2024-05-18,D1,Dortmund,Darmstadt,H,0.8240807310394466,0.10674217898072458,0.06917708997982876,0.8232454931693536,0.1078852746726478,0.0688692321579987,4,"b365,bw,wh,ps",1,0.0066346505186234035,0.004823177885077011,0.004690739548341984,0,0.8240807310394466,0.10674217898072458,0.06917708997982876,1,0.0161485679520424,0.9841080640554478,0.6666666666666666,1,0.002286191383846267,2024-05-18,5,1,2.0,0.0645942718081696,0.002286191383846267
6267,2024-05-18,I1,Lecce,Atalanta,A,0.21088011152751346,0.25074725278017984,0.5383726356923066,0.21193109480736283,0.2507333508636641,0.5373355543289731,4,"b365,bw,wh,ps",1,0.006979697181188684,0.004739212257727703,0.007188248460781167,2,0.21088011152751346,0.25074725278017984,0.5383726356923066,1,0.018907157899697553,0.9814436891986593,0.6666666666666666,1,0.002101966559698687,2024-05-18,5,1,2.0,0.07562863159879021,0.002101966559698687
6268,2024-05-18,I1,Torino,Milan,H,0.3396955399218288,0.2959786496206116,0.36432581045755946,0.34039099258039207,0.2950738390488259,0.3645351683707819,4,"b365,bw,wh,ps",1,0.007261405568421926,0.004904246672281673,0.007572014191106074,0,0.3396955399218288,0.2959786496206116,0.36432581045755946,1,0.019737666431809672,0.9806443685650308,0.6666666666666666,1,0.001809621143571416,2024-05-18,5,1,2.0,0.07895066572723869,0.001809621143571416
6266,2024-05-17,I1,Fiorentina,Napoli,D,0.41455555884636913,0.27514930049689806,0.3102951406567328,0.4137371890673498,0.2756658417473232,0.310596969185327,4,"b365,bw,wh,ps",1,0.008966501199419646,0.005406433475790834,0.00822364532070346,1,0.41455555884636913,0.27514930049689806,0.3102951406567328,1,0.02259657999591394,0.9779027424519605,0.6666666666666666,1,0.001636739558038669,2024-05-17,5,0,2.0,0.09038631998365576,0.001636739558038669
6265,2024-05-13,I1,Fiorentina,Monza,H,0.6090255652106125,0.22334403640551348,0.16763039838387397,0.6090146811985412,0.2237879830557868,0.16719733574567208,4,"b365,bw,wh,ps",1,0.007591213395568024,0.004596737401223277,0.0072723271854911375,0,0.6090255652106125,0.22334403640551348,0.16763039838387397,1,0.019460277982282437,0.9809111954604076,0.6666666666666666,1,0.0008878933005464773,2024-05-13,5,0,2.0,0.07784111192912975,0.0008878933005464773
6264,2024-05-13,I1,Lecce,Udinese,A,0.3607558918691817,0.31031397860869053,0.3289301295221277,0.3615533555054518,0.30846374949637667,0.3299828949981715,4,"b365,bw,wh,ps",1,0.009636014049897992,0.005332953877711707,0.006051247687479638,2,0.3607558918691817,0.31031397860869053,0.3289301295221277,1,0.021020215615089335,0.9794125372900415,0.6666666666666666,1,0.0037004582246277784,2024-05-13,5,0,2.0,0.08408086246035734,0.0037004582246277784
11391,2024-05-12,D1,Bayern Munich,Wolfsburg,H,0.7097775663797099,0.16150397811139178,0.1287184555088983,0.7079418855004265,0.163589145840064,0.12846896865950952,4,"b365,bw,wh,ps",1,0.007788610628127326,0.004353339862842096,0.006059371153325759,0,0.7097775663797099,0.16150397811139178,0.1287184555088983,1,0.01820132164429518,0.9821240443737573,0.6666666666666666,1,0.004170335457344437,2024-05-12,5,1,2.0,0.07280528657718072,0.004170335457344437
11392,2024-05-12,D1,Bochum,Leverkusen,A,0.2228427778644526,0.22116366909466884,0.5559935530408785,0.22357583052705673,0.22107254113813582,0.5553516283348074,4,"b365,bw,wh,ps",1,0.00741937153821512,0.004808745076118202,0.008070304036218456,2,0.2228427778644526,0.22116366909466884,0.5559935530408785,1,0.020298420650551777,0.98010540814362,0.6666666666666666,1,0.001466105325208189,2024-05-12,5,1,2.0,0.0811936826022071,0.001466105325208189
6263,2024-05-12,I1,Atalanta,Roma,H,0.47470074950630464,0.2647713394903602,0.2605279110033351,0.47351133523926325,0.26440934146268896,0.26207932329804773,4,"b365,bw,wh,ps",1,0.006970640035920062,0.003800560376972102,0.0063921756227902915,0,0.47470074950630464,0.2647713394903602,0.2605279110033351,1,0.017163376035682458,0.9831262347425688,0.6666666666666666,1,0.003102824589425235,2024-05-12,5,1,2.0,0.06865350414272983,0.003102824589425235
6262,2024-05-12,I1,Juventus,Salernitana,D,0.8362565914350404,0.11038603210487713,0.05335737646008233,0.836978117584388,0.1099717055845301,0.05305017683108187,4,"b365,bw,wh,ps",1,0.005597432137861673,0.004406052782738844,0.007266424301987131,1,0.8362565914350404,0.11038603210487713,0.05335737646008233,1,0.017269909222587646,0.9830232772384022,0.6666666666666666,1,0.0014430522986951175,2024-05-12,5,1,2.0,0.06907963689035058,0.0014430522986951175
6259,2024-05-12,I1,Lazio,Empoli,H,0.5980696964691258,0.23806142210860606,0.16386888142226805,0.5984424960902728,0.2378597678590807,0.16369773605064664,4,"b365,bw,wh,ps",1,0.006345762453648637,0.00437668347361905,0.008015738274608492,0,0.5980696964691258,0.23806142210860606,0.16386888142226805,1,0.01873818420187618,0.9816064770198474,0.6666666666666666,1,0.0007455992422937818,2024-05-12,5,1,2.0,0.07495273680750472,0.0007455992422937818
6261,2024-05-12,I1,Verona,Torino,A,0.3140021781305318,0.3175964970790935,0.3684013247903747,0.31413588639789547,0.31826680513477984,0.36759730846732475,4,"b365,bw,wh,ps",1,0.006392683087195683,0.005147131043652804,0.007926331753354948,2,0.3140021781305318,0.3175964970790935,0.3684013247903747,1,0.019466145884203437,0.9809055494752894,0.6666666666666666,1,0.0016080326460999883,2024-05-12,5,1,2.0,0.07786458353681375,0.0016080326460999883
6260,2024-05-12,I1,Genoa,Sassuolo,H,0.4299972344450139,0.27411835919862065,0.2958844063563655,0.42968772585028947,0.27356360951863923,0.2967486646310713,4,"b365,bw,wh,ps",1,0.006653912018483916,0.0052045844769393595,0.007040763326031363,0,0.4299972344450139,0.27411835919862065,0.2958844063563655,1,0.01889925982145464,0.9814512969370826,0.6666666666666666,1,0.001728516549411696,2024-05-12,5,1,2.0,0.07559703928581855,0.001728516549411696
11390,2024-05-12,D1,Darmstadt,Hoffenheim,A,0.2097108306355973,0.2074521487464232,0.5828370206179794,0.21040615189996104,0.20764106612398459,0.5819527819760544,4,"b365,bw,wh,ps",1,0.006987025633547041,0.004943890437526599,0.005850726318863745,2,0.2097108306355973,0.2074521487464232,0.5828370206179794,1,0.017781642389937385,0.982529020322883,0.6666666666666666,1,0.0017684772838501006,2024-05-12,5,1,2.0,0.07112656955974954,0.0017684772838501006
11386,2024-05-11,D1,Freiburg,Heidenheim,D,0.5532945497438182,0.23606012562538425,0.21064532463079746,0.5522436715527153,0.23542431898716504,0.2123320094601197,4,"b365,bw,wh,ps",1,0.006112580488504667,0.004990390239376386,0.008249837319236925,1,0.5532945497438182,0.23606012562538425,0.21064532463079746,1,0.019352808047117975,0.9810146125126255,0.6666666666666666,1,0.003373369658644404,2024-05-11,5,1,2.0,0.0774112321884719,0.003373369658644404
11387,2024-05-11,D1,M'gladbach,Ein Frankfurt,D,0.38435980000083586,0.25519993357716736,0.3604402664219967,0.38461052803298323,0.25451141265216637,0.3608780593148504,4,"b365,bw,wh,ps",1,0.008488347765187912,0.004398546620758516,0.006340392210337235,1,0.38435980000083586,0.25519993357716736,0.3604402664219967,1,0.01922728659628366,0.9811354279372824,0.6666666666666666,1,0.0013770418500020365,2024-05-11,5,1,2.0,0.07690914638513464,0.0013770418500020365
11388,2024-05-11,D1,RB Leipzig,Werder Bremen,D,0.7375025032815318,0.146212276549628,0.1162852201688401,0.7366228382734841,0.14673018533902468,0.11664697638749116,4,"b365,bw,wh,ps",1,0.008442448840650587,0.004516682944148177,0.005368341718764599,1,0.7375025032815318,0.146212276549628,0.1162852201688401,1,0.01832747350356336,0.9820023774469055,0.6666666666666666,1,0.001759330016095434,2024-05-11,5,1,2.0,0.07330989401425345,0.001759330016095434
11389,2024-05-11,D1,Mainz,Dortmund,H,0.4318460017745752,0.24824107641495988,0.3199129218104648,0.43021665345730814,0.2478029612683656,0.32198038527432626,4,"b365,bw,wh,ps",1,0.005771237516031404,0.004598750226065746,0.00528014028506979,0,0.4318460017745752,0.24824107641495988,0.3199129218104648,1,0.01565012802716694,0.9845910244135287,0.6666666666666666,1,0.0041349269277227985,2024-05-11,5,1,2.0,0.06260051210866777,0.0041349269277227985
6257,2024-05-11,I1,Napoli,Bologna,A,0.4506257016176587,0.2729948233689331,0.276379475013408,0.4518530089610444,0.2718432581506405,0.2763037328883151,4,"b365,bw,wh,ps",1,0.006248385103317484,0.00458390110369413,0.006336871144946939,2,0.4506257016176587,0.2729948233689331,0.276379475013408,1,0.017169157351958553,0.9831206469171206,0.6666666666666666,1,0.002454614686771217,2024-05-11,5,1,2.0,0.06867662940783421,0.002454614686771217
6258,2024-05-11,I1,Milan,Cagliari,H,0.6719682773952911,0.19108617332838457,0.13694554927632427,0.6721259238632106,0.19171490427351914,0.1361591718632702,4,"b365,bw,wh,ps",1,0.009297268676730055,0.004171723335203036,0.00809196371582704,0,0.6719682773952911,0.19108617332838457,0.13694554927632427,1,0.02156095572776013,0.9788941074863222,0.6666666666666666,1,0.0015727548261081359,2024-05-11,5,1,2.0,0.08624382291104052,0.0015727548261081359
11385,2024-05-11,D1,FC Koln,Union Berlin,H,0.3425175750842775,0.2815876192756671,0.37589480564005523,0.34175060540443825,0.28026719144216544,0.37798220315339637,4,"b365,bw,wh,ps",1,0.0064181849081671035,0.0044548537963583325,0.005027085116338878,0,0.3425175750842775,0.2815876192756671,0.37589480564005523,1,0.015900123820864316,0.9843487332582824,0.6666666666666666,1,0.004174795026682054,2024-05-11,5,1,2.0,0.06360049528345726,0.004174795026682054
11384,2024-05-10,D1,Augsburg,Stuttgart,A,0.24545541803118176,0.2189678591757519,0.5355767227930662,0.24564639640914912,0.21860991874674338,0.5357436848441075,4,"b365,bw,wh,ps",1,0.005468132191224897,0.00457291795804543,0.006662857466291638,2,0.24545541803118176,0.2189678591757519,0.5355767227930662,1,0.016703907615561963,0.9835705287542987,0.6666666666666666,1,0.0007158808580171594,2024-05-10,5,0,2.0,0.06681563046224785,0.0007158808580171594
6256,2024-05-10,I1,Frosinone,Inter,A,0.2124920529500927,0.23882562694901277,0.5486823201008943,0.21292167971007364,0.23878401301100988,0.5482943072789164,4,"b365,bw,wh,ps",1,0.009170474155758468,0.004100935747043945,0.0068077925560134644,2,0.2124920529500927,0.23882562694901277,0.5486823201008943,1,0.02007920245881588,0.9803160358426908,0.6666666666666666,1,0.0008592535199618001,2024-05-10,5,0,2.0,0.08031680983526351,0.0008592535199618001
6254,2024-05-06,I1,Salernitana,Atalanta,A,0.11930624395324108,0.17759650418046502,0.7030972518662938,0.12032475539018345,0.17762564406958853,0.702049600540228,4,"b365,bw,wh,ps",1,0.00806259417776367,0.004600831736552589,0.007158808355826126,2,0.11930624395324108,0.17759650418046502,0.7030972518662938,1,0.019822234270142385,0.9805630495158515,0.6666666666666666,1,0.0020953026521316476,2024-05-06,5,0,2.0,0.07928893708056954,0.0020953026521316476
6255,2024-05-06,I1,Udinese,Napoli,D,0.2589560109195836,0.2622146316692087,0.4788293574112076,0.2597353516535388,0.2626385771885419,0.4776260711579193,4,"b365,bw,wh,ps",1,0.007182048801077525,0.004481780375140365,0.00794539011977603,1,0.2589560109195836,0.2622146316692087,0.4788293574112076,1,0.01960921929599392,0.9807679070325261,0.6666666666666666,1,0.002406572506576665,2024-05-06,5,0,2.0,0.07843687718397568,0.002406572506576665
6253,2024-05-05,I1,Roma,Juventus,D,0.33500196278863686,0.307072119078599,0.35792591813276403,0.33492867516761327,0.30633847357749533,0.35873285125489135,4,"b365,bw,wh,ps",1,0.00708860570733902,0.004517639761659405,0.007307153041960708,1,0.33500196278863686,0.307072119078599,0.35792591813276403,1,0.018913398510959134,0.9814376780807877,0.6666666666666666,1,0.0016138662442545804,2024-05-05,5,1,2.0,0.07565359404383654,0.0016138662442545804
