match_id,match_date,league,era,home_team,away_team,result,weighted_home,weighted_draw,weighted_away,equal_home,equal_draw,equal_away,home_std,draw_std,away_std,avg_std,entropy,n_books,actual
6286,2024-06-02,I1,2023-2024,Atalanta,Fiorentina,A,0.6495338785304695,0.2026562315408069,0.14780988992872363,0.6495338785304695,0.20265623154080686,0.14780988992872363,0.004759410506806634,0.007472654344548441,0.009617265967761085,0.007283110273038719,0.8863500211680565,5,"[0, 0, 1]"
6280,2024-05-26,I1,2023-2024,Atalanta,Torino,H,0.2763686392021515,0.28059064756199587,0.4430407132358527,0.2763686392021515,0.28059064756199587,0.44304071323585265,0.008537868616503245,0.00844727010342053,0.004669310799335816,0.007218149839753198,1.0726831087687942,5,"[1, 0, 0]"
6281,2024-05-26,I1,2023-2024,Napoli,Lecce,D,0.6669353755920224,0.1976509794017944,0.1354136450061834,0.6669353755920222,0.19765097940179438,0.1354136450061834,0.005986823031746973,0.0074004034072001935,0.010433148851492347,0.00794012509681317,0.8613413178612579,5,"[0, 1, 0]"
6282,2024-05-26,I1,2023-2024,Empoli,Roma,H,0.47989091566746045,0.26197171380474876,0.25813737052779084,0.4798909156674604,0.2619717138047487,0.25813737052779084,0.002994073186111487,0.009711170408459464,0.007734410114612466,0.006813217903061139,1.0528362233536068,5,"[1, 0, 0]"
6283,2024-05-26,I1,2023-2024,Frosinone,Udinese,A,0.394234617395377,0.29715105922357227,0.3086143233810508,0.394234617395377,0.2971510592235722,0.30861432338105077,0.0021400842636546836,0.007809303560515204,0.006465582997418743,0.005471656940529544,1.0903807409315958,5,"[0, 0, 1]"
6284,2024-05-26,I1,2023-2024,Lazio,Sassuolo,D,0.7024367644270089,0.17988255872470457,0.1176806768482866,0.7024367644270088,0.17988255872470454,0.11768067684828658,0.006479700423492935,0.00621274317177827,0.008512924317252462,0.007068455970841222,0.808491136447476,5,"[0, 1, 0]"
6285,2024-05-26,I1,2023-2024,Verona,Inter,D,0.16907040610834592,0.22206033424047394,0.6088692596511802,0.16907040610834592,0.22206033424047394,0.6088692596511802,0.006885058513805135,0.008356599495135288,0.0064866873379464994,0.007242781782295641,0.9367617961686128,5,"[0, 1, 0]"
6278,2024-05-25,I1,2023-2024,Juventus,Monza,H,0.7177747099303893,0.17569159048373784,0.10653369958587298,0.7177747099303892,0.1756915904837378,0.10653369958587297,0.008161938190299322,0.004707432834827408,0.008530436484320515,0.0071332691698157485,0.7821061185072158,5,"[1, 0, 0]"
6279,2024-05-25,I1,2023-2024,Milan,Salernitana,D,0.8135110922437921,0.11673273737379408,0.0697561703824139,0.813511092243792,0.11673273737379408,0.06975617038241388,0.00922444478269335,0.005394846078830592,0.006951615283596272,0.007190302048373405,0.6043749467307027,5,"[0, 1, 0]"
6277,2024-05-24,I1,2023-2024,Genoa,Bologna,H,0.2743154606812461,0.29196471057747736,0.43371982874127646,0.2743154606812462,0.2919647105774773,0.43371982874127646,0.005843571535411376,0.008590093201799357,0.004988514894948587,0.006474059877386439,1.0765755663354548,5,"[1, 0, 0]"
6276,2024-05-23,I1,2023-2024,Cagliari,Fiorentina,A,0.22219989992699135,0.2530110783292875,0.5247890217437212,0.22219989992699135,0.2530110783292875,0.5247890217437211,0.006815179950684408,0.005237893706971237,0.002684222817752727,0.004912432158469458,1.0203092844032275,5,"[0, 0, 1]"
6274,2024-05-20,I1,2023-2024,Salernitana,Verona,A,0.19111191623815846,0.25177394699480593,0.5571141367670357,0.19111191623815843,0.2517739469948059,0.5571141367670356,0.005956479859147424,0.008420003101555152,0.0068371433267029776,0.007071208762468518,0.9894264318607751,5,"[0, 0, 1]"
6275,2024-05-20,I1,2023-2024,Bologna,Juventus,D,0.38543796240029554,0.30993561394473623,0.3046264236549683,0.38543796240029554,0.3099356139447363,0.3046264236549683,0.003118904538499091,0.00812227023290616,0.008214263460686832,0.006485146077364028,1.0926226383073088,5,"[0, 1, 0]"
6269,2024-05-19,I1,2023-2024,Sassuolo,Cagliari,A,0.40696257756782206,0.28238236377869996,0.31065505865347803,0.40696257756782206,0.2823823637786999,0.31065505865347803,0.0019829482333665427,0.006101342945833519,0.004473979958611604,0.004186090379270555,1.086121966016635,5,"[0, 0, 1]"
