fold,n_valid,date_min,date_max,accuracy,logloss,brier
1,206,2025-09-27 13:29:59.522927,2025-10-08 00:29:59.387677,0.46116504854368934,1.0089975214729219,0.604979112663244
2,206,2025-10-08 00:34:59.210905,2025-10-19 12:00:00.000000,0.47572815533980584,1.0123865478492822,0.602280605724993
3,206,2025-10-19 12:00:00.000000,2025-10-25 14:15:00.000000,0.5145631067961165,0.9965125185937752,0.5935032691193028
4,206,2025-10-25 14:30:00.000000,2025-11-01 16:15:00.000000,0.5679611650485437,0.9331984268570698,0.5480494799205865
5,206,2025-11-01 16:30:00.000000,2025-11-07 19:45:00.000000,0.5631067961165048,0.9504553102185308,0.5617538320216282
